pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
mix_gen	online	bpq	npf	blank	3	1.1284 ± 0.0703
mix_all	online	bpq	hybrid	offline	2	1.1300 ± 0.0921
mix_all	online	bpq	hybrid	blank	2	1.1308 ± 0.0771
mix_all	online	bpq	ob	blank	3	1.1312 ± 0.0734
randomH	online	bpq	false	false	0	1.1323 ± 0.0218
randomH	online	bpq	npf	online	3	1.1330 ± 0.0395
randomH	online	bpq	npf	blank	2	1.1339 ± 0.0765
mix_all	online	bpq	dedup	blank	2	1.1352 ± 0.0430
mix_all	online	bpq	ob	online	2	1.1425 ± 0.0854
mix_gen	online	bpq	dedup	blank	2	1.1431 ± 0.0828
randomH	false	bpq	hybrid	online	2	1.1437 ± 0.1972
randomH	online	bpq	npf	offline	3	1.1454 ± 0.0284
mix_all	online	bpq	npf	offline	2	1.1455 ± 0.0695
mix_all	false	bpq	ob	blank	3	1.1513 ± 0.1261
randomH	online	bpq	dedup	online	2	1.1539 ± 0.0972
mix_all	online	bpq	hybrid	blank	3	1.1585 ± 0.1320
mix_all	false	bpq	ob	online	2	1.1776 ± 0.2562
randomH	false	bpq	hybrid	blank	3	1.1828 ± 0.2558
randomH	online	bpq	npf	online	2	1.2084 ± 0.2087
randomH	false	bpq	false	false	0	1.2295 ± 0.0266
mix_gen	false	bpq	hybrid	offline	2	1.2315 ± 0.2476
mix_all	false	bpq	npf	online	3	1.2331 ± 0.2776
randomH	false	bpq	hybrid	blank	2	1.2701 ± 0.3238
randomH	false	bpq	npf	offline	0	1.2723 ± 0.0389
randomH	false	bpq	npf	offline	1	1.2762 ± 0.0289
mix_gen	false	bpq	npf	online	1	1.2898 ± 0.0483
mix_all	false	bpq	ob	offline	1	1.2902 ± 0.0344
mix_gen	false	bpq	npf	online	0	1.2939 ± 0.0374
mix_gen	false	bpq	dedup	blank	1	1.2940 ± 0.0458
mix_all	false	bpq	npf	offline	0	1.2941 ± 0.0913
randomH	false	bpq	dedup	blank	1	1.2947 ± 0.0377
mix_gen	false	bpq	npf	offline	1	1.2978 ± 0.0589
mix_all	false	bpq	ob	blank	1	1.3027 ± 0.0262
mix_gen	false	bpq	npf	blank	1	1.3048 ± 0.0517
randomH	false	bpq	npf	blank	0	1.3078 ± 0.0423
mix_all	false	bpq	npf	online	0	1.3089 ± 0.0868
mix_all	false	bpq	npf	offline	1	1.3090 ± 0.1148
mix_gen	false	bpq	npf	offline	0	1.3095 ± 0.0192
randomH	false	bpq	hybrid	offline	1	1.3112 ± 0.0521
mix_gen	false	bpq	ob	online	1	1.3138 ± 0.0295
randomH	false	bpq	ob	blank	1	1.3150 ± 0.0281
randomH	false	bpq	npf	online	1	1.3169 ± 0.0671
mix_gen	false	bpq	dedup	online	1	1.3182 ± 0.0334
mix_all	false	bpq	npf	online	2	1.3183 ± 0.5762
mix_all	false	bpq	dedup	online	1	1.3186 ± 0.0368
mix_all	false	bpq	hybrid	blank	1	1.3218 ± 0.0447
randomH	false	bpq	npf	blank	1	1.3225 ± 0.0687
mix_all	online	bpq	ob	offline	1	1.3227 ± 0.0699
randomH	false	bpq	ob	offline	1	1.3227 ± 0.0372
mix_all	false	bpq	dedup	blank	1	1.3233 ± 0.0290
randomH	online	bpq	ob	offline	1	1.3233 ± 0.0489
mix_all	online	bpq	hybrid	offline	1	1.3234 ± 0.0423
mix_all	online	bpq	npf	online	0	1.3237 ± 0.0442
mix_gen	false	bpq	dedup	offline	1	1.3239 ± 0.0775
mix_all	online	bpq	npf	online	1	1.3243 ± 0.0594
randomH	online	bpq	npf	offline	2	1.3250 ± 0.4516
mix_all	false	bpq	hybrid	online	1	1.3264 ± 0.0824
mix_gen	online	bpq	npf	blank	1	1.3277 ± 0.0424
mix_gen	false	bpq	hybrid	online	1	1.3296 ± 0.0473
mix_all	false	bpq	dedup	offline	1	1.3320 ± 0.0715
randomH	online	bpq	npf	offline	1	1.3322 ± 0.0313
mix_all	online	bpq	npf	blank	0	1.3325 ± 0.0271
mix_gen	online	bpq	npf	blank	0	1.3326 ± 0.0461
mix_all	online	bpq	npf	offline	0	1.3331 ± 0.0508
mix_gen	false	bpq	hybrid	blank	1	1.3334 ± 0.0587
randomH	false	bpq	npf	online	0	1.3340 ± 0.0460
mix_gen	online	bpq	ob	online	1	1.3361 ± 0.0535
randomH	false	bpq	ob	online	1	1.3382 ± 0.0779
mix_gen	online	bpq	dedup	online	1	1.3382 ± 0.0275
randomH	online	bpq	npf	blank	1	1.3382 ± 0.0323
randomH	false	bpq	dedup	online	1	1.3388 ± 0.0201
mix_all	online	bpq	hybrid	online	1	1.3390 ± 0.0353
mix_all	false	bpq	hybrid	offline	1	1.3401 ± 0.0211
mix_gen	online	bpq	npf	online	1	1.3433 ± 0.0488
mix_all	online	bpq	ob	blank	1	1.3460 ± 0.0557
randomH	online	bpq	dedup	offline	1	1.3460 ± 0.0409
mix_gen	online	bpq	ob	offline	1	1.3463 ± 0.0510
mix_all	online	bpq	hybrid	blank	1	1.3467 ± 0.0690
