pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
randomT	online	bpq	npf	blank	0	1.8932 ± 0.4191
mix_all	online	bpq	ob	blank	0	1.8934 ± 0.1146
randomT	online	bpq	ob	blank	1	1.9190 ± 0.2854
randomT	online	bpq	npf	online	0	1.9194 ± 0.4617
mix_gen	online	bpq	ob	blank	0	1.9235 ± 0.1248
mix_all	online	bpq	ob	online	0	1.9321 ± 0.1319
randomT	online	bpq	ob	blank	0	1.9399 ± 0.1432
mix_gen	online	bpq	ob	offline	0	1.9474 ± 0.1095
randomT	online	bpq	ob	online	0	1.9647 ± 0.0810
mix_gen	online	bpq	ob	online	0	1.9830 ± 0.2161
mix_gen	false	bpq	dedup	blank	1	2.1231 ± 1.0743
randomT	online	lapq	hybrid	offline	3	2.5101 ± 0.0778
mix_gen	online	lapq	hybrid	online	2	2.5172 ± 0.0774
mix_all	online	lapq	hybrid	online	3	2.5199 ± 0.0748
mix_all	online	lapq	hybrid	offline	2	2.5323 ± 0.0347
randomT	online	lapq	hybrid	online	2	2.5329 ± 0.0834
randomT	false	lapq	npf	blank	2	2.5338 ± 0.0548
mix_all	online	lapq	dedup	offline	3	2.5356 ± 0.0706
mix_all	online	lapq	hybrid	blank	3	2.5365 ± 0.1012
randomT	false	lapq	dedup	online	3	2.5388 ± 0.0677
mix_gen	online	lapq	dedup	online	2	2.5396 ± 0.1248
randomT	online	lapq	hybrid	blank	2	2.5401 ± 0.0673
randomT	online	lapq	npf	offline	2	2.5409 ± 0.0630
mix_gen	online	lapq	npf	blank	2	2.5419 ± 0.0922
mix_gen	false	lapq	npf	offline	3	2.5440 ± 0.0648
mix_gen	online	lapq	npf	offline	3	2.5446 ± 0.0723
mix_all	false	lapq	npf	offline	2	2.5448 ± 0.0511
randomT	false	lapq	dedup	blank	3	2.5452 ± 0.0590
mix_gen	false	lapq	dedup	online	2	2.5455 ± 0.0589
randomT	false	lapq	dedup	online	2	2.5459 ± 0.0920
mix_all	false	lapq	dedup	offline	2	2.5495 ± 0.0816
randomT	online	lapq	ob	offline	2	2.5508 ± 0.0752
mix_gen	online	lapq	npf	online	2	2.5512 ± 0.1081
mix_all	online	lapq	npf	offline	3	2.5526 ± 0.1126
