pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
randomG	false	bpq	dedup	offline	1	0.8839 ± 0.0073
randomG	false	bpq	npf	offline	0	0.8847 ± 0.0139
mix_gen	false	bpq	ob	blank	1	0.8858 ± 0.0052
randomG	false	bpq	hybrid	blank	1	0.8860 ± 0.0257
randomG	false	bpq	dedup	online	1	0.8868 ± 0.0098
mix_all	online	bpq	dedup	offline	1	0.8870 ± 0.0232
mix_all	false	bpq	dedup	online	1	0.8872 ± 0.0176
mix_gen	false	bpq	npf	blank	1	0.8873 ± 0.0243
randomG	false	bpq	npf	online	1	0.8890 ± 0.0125
mix_all	false	bpq	ob	blank	1	0.8896 ± 0.0196
mix_gen	false	bpq	dedup	blank	1	0.8897 ± 0.0110
mix_gen	false	bpq	hybrid	online	1	0.8910 ± 0.0270
randomG	false	bpq	ob	online	1	0.8911 ± 0.0349
randomG	online	bpq	npf	offline	1	0.8912 ± 0.0227
mix_all	false	bpq	npf	blank	1	0.8920 ± 0.0245
mix_all	false	bpq	ob	online	1	0.8922 ± 0.0197
randomG	false	bpq	npf	online	0	0.8928 ± 0.0114
mix_gen	false	bpq	hybrid	blank	1	0.8935 ± 0.0237
randomG	online	bpq	hybrid	offline	1	0.8957 ± 0.0301
mix_all	online	bpq	ob	offline	1	0.8960 ± 0.0305
randomG	false	bpq	ob	blank	1	0.8965 ± 0.0372
mix_gen	false	bpq	npf	blank	0	0.8967 ± 0.0214
mix_gen	online	bpq	dedup	blank	1	0.8968 ± 0.0173
mix_all	false	bpq	dedup	blank	1	0.8969 ± 0.0235
mix_gen	false	bpq	npf	offline	0	0.8970 ± 0.0171
mix_all	false	bpq	npf	blank	0	0.8974 ± 0.0228
mix_all	false	bpq	npf	online	1	0.8980 ± 0.0229
randomG	online	bpq	npf	offline	0	0.8982 ± 0.0266
mix_gen	online	bpq	ob	offline	1	0.8984 ± 0.0225
mix_all	online	bpq	hybrid	online	1	0.8988 ± 0.0180
mix_gen	online	bpq	dedup	offline	1	0.8994 ± 0.0253
randomG	false	bpq	dedup	blank	1	0.8997 ± 0.0320
randomG	online	bpq	npf	blank	1	0.9008 ± 0.0234
mix_all	online	bpq	ob	blank	1	0.9013 ± 0.0229
mix_gen	online	bpq	dedup	online	1	0.9014 ± 0.0223
mix_all	online	bpq	hybrid	blank	1	0.9021 ± 0.0158
mix_gen	false	bpq	ob	offline	1	0.9025 ± 0.0477
mix_gen	false	bpq	dedup	online	1	0.9030 ± 0.0096
mix_gen	false	bpq	ob	online	1	0.9033 ± 0.0357
randomG	online	bpq	hybrid	online	1	0.9056 ± 0.0412
mix_all	online	bpq	npf	online	1	0.9057 ± 0.0260
mix_gen	online	bpq	npf	offline	1	0.9059 ± 0.0231
mix_gen	false	bpq	npf	online	0	0.9062 ± 0.0222
mix_all	online	bpq	npf	blank	1	0.9064 ± 0.0281
randomG	false	bpq	npf	blank	0	0.9073 ± 0.0399
randomG	online	bpq	npf	online	0	0.9082 ± 0.0294
mix_gen	online	bpq	hybrid	blank	1	0.9117 ± 0.0461
randomG	online	bpq	npf	online	1	0.9122 ± 0.0300
randomG	online	bpq	ob	online	1	0.9123 ± 0.0311
mix_gen	online	bpq	npf	online	1	0.9125 ± 0.0241
randomG	online	bpq	npf	blank	0	0.9129 ± 0.0338
mix_all	online	bpq	ob	online	1	0.9140 ± 0.0266
mix_all	online	bpq	dedup	blank	1	0.9152 ± 0.0349
mix_gen	false	bpq	npf	online	1	0.9153 ± 0.0350
randomG	online	bpq	dedup	blank	1	0.9155 ± 0.0193
mix_all	online	bpq	npf	blank	0	0.9156 ± 0.0326
mix_gen	online	bpq	ob	blank	1	0.9161 ± 0.0198
mix_all	false	bpq	npf	online	0	0.9172 ± 0.0461
randomG	online	bpq	ob	blank	1	0.9197 ± 0.0331
mix_gen	false	bpq	npf	offline	1	0.9206 ± 0.0527
mix_gen	online	bpq	npf	blank	0	0.9211 ± 0.0233
mix_gen	online	bpq	hybrid	online	1	0.9225 ± 0.0419
mix_gen	online	bpq	npf	online	0	0.9225 ± 0.0264
mix_gen	online	bpq	npf	blank	1	0.9235 ± 0.0301
mix_all	online	bpq	npf	online	0	0.9245 ± 0.0320
mix_gen	online	bpq	npf	offline	0	0.9246 ± 0.0422
mix_all	false	bpq	ob	offline	0	0.9253 ± 0.0065
mix_all	online	bpq	dedup	online	1	0.9253 ± 0.0330
randomG	false	bpq	ob	offline	0	0.9261 ± 0.0093
randomG	false	bpq	hybrid	online	1	0.9270 ± 0.1077
randomG	false	bpq	npf	blank	1	0.9278 ± 0.1100
randomG	online	bpq	dedup	online	1	0.9284 ± 0.0480
mix_all	false	bpq	npf	offline	0	0.9308 ± 0.1245
mix_all	false	bpq	ob	online	0	0.9334 ± 0.0050
mix_all	false	bpq	ob	blank	0	0.9339 ± 0.0078
mix_all	online	bpq	hybrid	offline	1	0.9352 ± 0.0706
mix_gen	false	bpq	dedup	offline	1	0.9353 ± 0.1250
mix_gen	online	bpq	ob	online	1	0.9424 ± 0.0456
mix_gen	false	bpq	ob	offline	0	0.9508 ± 0.0434
randomG	online	bpq	ob	offline	0	0.9549 ± 0.0238
mix_gen	false	bpq	ob	blank	0	0.9554 ± 0.0326
randomG	false	bpq	ob	online	0	0.9554 ± 0.0271
randomG	false	bpq	ob	blank	0	0.9571 ± 0.0335
mix_gen	online	bpq	ob	offline	0	0.9592 ± 0.0195
randomG	online	bpq	ob	blank	0	0.9613 ± 0.0255
mix_gen	false	bpq	ob	online	0	0.9640 ± 0.0326
randomG	online	bpq	ob	online	0	0.9642 ± 0.0305
randomG	online	bpq	hybrid	offline	3	0.9664 ± 0.6491
mix_gen	online	bpq	ob	blank	0	0.9680 ± 0.0271
mix_all	false	bpq	hybrid	offline	1	0.9687 ± 0.2008
mix_all	online	bpq	ob	online	0	0.9710 ± 0.0357
mix_all	online	bpq	npf	offline	0	0.9716 ± 0.1284
mix_all	online	bpq	ob	blank	0	0.9726 ± 0.0442
